file,term,context,classification
DECISION-06-resolvable-items.md,e_t_co,"form recipients, menu labels. Report every hit. The favicon filename `e_t_co_concreters_favicon` proves this is not confined to the kit. 4. **Note in `CONTEXT.m",our-own-reporting-of-the-issue
lib/site_builder.py,eamptco,"urce_trees() -> dict[str, Any]: xml = load_xml(ROOT / ""source"" / ""eamptcoconcretersmelbourne_WordPress_2026-08-14.xml"") output = {} channel = xml.ge",source-wxr-filename-reference
lib/stage3_gate.py,eamptco,"H = ROOT / ""reports"" / ""03-pilot.md"" SOURCE_PATH = ROOT / ""source"" / ""eamptcoconcretersmelbourne_WordPress_2026-08-14.xml"" GLOBAL_REPLACEMENTS = { ""[[BRAND",source-wxr-filename-reference
lib/stage8.py,eamptco,"ords() -> list[dict[str, Any]]: xml = load_xml(ROOT / ""source"" / ""eamptcoconcretersmelbourne_WordPress_2026-08-14.xml"") channel = xml.getroot().find(""ch",source-wxr-filename-reference
lib/stage8.py,e-t-co,"elif any(term in stem for term in (""logo"", ""favicon"", ""eandtcologo"", ""e-t-co"")): base = ""corex-concreters-camden-logo"" else: base = stem",BRAND LEAKAGE - name in data
lib/stage9.py,eamptco,"ntor, serialize_elementor, set_meta SOURCE_XML = ROOT / ""source"" / ""eamptcoconcretersmelbourne_WordPress_2026-08-14.xml"" OUTPUT_XML = ROOT / ""camden-concretin",source-wxr-filename-reference
oran-park-gold-standard.md,E&T Co,before writing any copy. **Source template:** `concreter-werribee` (E&T Co) **Target URL:** `/concreters-oran-park/` **Primary keyword:** `concreters oran par,BRAND LEAKAGE - name in data
oran-park-gold-standard.md,E&T,before writing any copy. **Source template:** `concreter-werribee` (E&T Co) **Target URL:** `/concreters-oran-park/` **Primary keyword:** `concreters oran par,BRAND LEAKAGE - name in data
oran-park-gold-standard.md,E&T,"a false claim, not a placeholder. Do not fill it with stock photos or E&T's Werribee images. --- ## MODULE 9 — Why Customers Choose Us **Widget:** `heading` (",BRAND LEAKAGE - name in data
reports/00-inventory.md,E&T CO,attachment | 159 | `chatgpt-image-jul-6-2026-01_52_19-pm` | inherit | E&T CO Concreters Logo | | | attachment | 166 | `shedslabconcrete` | inherit | shedslabco,BRAND LEAKAGE - name in data
reports/00-inventory.md,E&T Co,te | | | attachment | 177 | `et-co-concreters-melbourne` | inherit | E&T Co Concreters Melbourne | | | attachment | 181 | `side-access-paths-concrete` | inher,BRAND LEAKAGE - name in data
reports/00-inventory.md,E&T CO,| Logo | | | attachment | 272 | `et-co-concreters-logo` | inherit | E&T CO Concreters Logo | | | attachment | 275 | `image_placeholder_hero-jpeg` | inherit |,BRAND LEAKAGE - name in data
reports/00-inventory.md,E&T,attachment | 159 | `chatgpt-image-jul-6-2026-01_52_19-pm` | inherit | E&T CO Concreters Logo | | | attachment | 166 | `shedslabconcrete` | inherit | shedslabco,BRAND LEAKAGE - name in data
reports/00-inventory.md,E&T,te | | | attachment | 177 | `et-co-concreters-melbourne` | inherit | E&T Co Concreters Melbourne | | | attachment | 181 | `side-access-paths-concrete` | inher,BRAND LEAKAGE - name in data
reports/00-inventory.md,E&T,| Logo | | | attachment | 272 | `et-co-concreters-logo` | inherit | E&T CO Concreters Logo | | | attachment | 275 | `image_placeholder_hero-jpeg` | inherit |,BRAND LEAKAGE - name in data
reports/00-inventory.md,e_t_co,-jpeg` | inherit | Image-Testemonials.jpeg | | | attachment | 306 | `e_t_co_concreters_favicon_512_symbol_only` | inherit | e_t_co_concreters_favicon_512_symbo,BRAND LEAKAGE - filename
reports/00-inventory.md,e_t_co,hment | 306 | `e_t_co_concreters_favicon_512_symbol_only` | inherit | e_t_co_concreters_favicon_512_symbol_only | | | attachment | 307 | `cropped-e_t_co_concre,BRAND LEAKAGE - filename
reports/00-inventory.md,e_t_co,concreters_favicon_512_symbol_only | | | attachment | 307 | `cropped-e_t_co_concreters_favicon_512_symbol_only-png` | inherit | cropped-e_t_co_concreters_favic,BRAND LEAKAGE - filename
reports/00-inventory.md,e_t_co,ed-e_t_co_concreters_favicon_512_symbol_only-png` | inherit | cropped-e_t_co_concreters_favicon_512_symbol_only.png | | | attachment | 308 | `eandtcologo` | in,BRAND LEAKAGE - filename
reports/00-inventory.md,e_t_co,-jpg` | inherit | About-2-Hero.jpg | | | attachment | 422 | `cropped-e_t_co_concreters_favicon_512_symbol_only-1-png` | inherit | cropped-e_t_co_concreters_fav,BRAND LEAKAGE - filename
reports/00-inventory.md,e_t_co,-e_t_co_concreters_favicon_512_symbol_only-1-png` | inherit | cropped-e_t_co_concreters_favicon_512_symbol_only-1.png | | | attachment | 468 | `e-t-co-logo-tra,BRAND LEAKAGE - filename
reports/00-inventory.md,e_t_co,s://bestconcretersmelbourne.com.au/wp-content/uploads/2026/07/cropped-e_t_co_concreters_favicon_512_symbol_only-1.png - https://bestconcretersmelbourne.com.au/w,BRAND LEAKAGE - filename
reports/00-inventory.md,e_t_co,s://bestconcretersmelbourne.com.au/wp-content/uploads/2026/07/cropped-e_t_co_concreters_favicon_512_symbol_only.png - https://bestconcretersmelbourne.com.au/wp-,BRAND LEAKAGE - filename
reports/00-inventory.md,e_t_co,g - https://bestconcretersmelbourne.com.au/wp-content/uploads/2026/07/e_t_co_concreters_favicon_512_symbol_only.png - https://bestconcretersmelbourne.com.au/wp-,BRAND LEAKAGE - filename
reports/00-inventory.md,eamptco,# Stage 0 Inventory Source XML: `source/eamptcoconcretersmelbourne_WordPress_2026-08-14.xml` Total `<item>` elements: 155 | post_,source-wxr-filename-reference
reports/00-inventory.md,e-t-co,o_concreters_favicon_512_symbol_only-1.png | | | attachment | 468 | `e-t-co-logo-transparent` | inherit | e-t-co-logo-transparent | | | attachment | 469 | `cr,BRAND LEAKAGE - name in data
reports/00-inventory.md,e-t-co,1.png | | | attachment | 468 | `e-t-co-logo-transparent` | inherit | e-t-co-logo-transparent | | | attachment | 469 | `cropped-e-t-co-logo-transparent-png` |,BRAND LEAKAGE - name in data
